Integer|*Numero;String|Nombre;String|Apellido;Integer|ID;
0                  |Marco              |Tomtate            |95                 
87                 |Ricardo            |Murcia             |76                 
88                 |Ramon              |Ruth               |81                 
89                 |Ana                |Borjas             |10                 
90                 |Maria              |Mata               |9                  
91                 |David              |Soto               |18                 
92                 |Omar               |Sanchez            |71                 
93                 |Maria              |Borjas             |33                 
94                 |Brownie            |Matamoros          |15                 
95                 |Diego              |Kurosaki           |71                 
96                 |Ricardo            |Sula               |83                 
97                 |Marco              |Sula               |52                 
98                 |Ramon              |Mata               |41                 
99                 |David              |Sula               |98                 
100                |David              |Murcia             |22                 
101                |Ana                |Ordoñez            |46                 
102                |Omar               |Tomtate            |37                 
103                |Brownie            |Borjas             |80                 
104                |Omar               |Sanchez            |94                 
105                |Michell            |Soto               |61                 
106                |Marco              |Sanchez            |41                 
107                |Ana                |Mata               |48                 
108                |Goku               |Matamoros          |80                 
109                |Omar               |Ruth               |35                 
110                |Diego              |Sanchez            |51                 
111                |Diego              |Murcia             |92                 
112                |Maria              |Borjas             |47                 
113                |Ana                |Murcia             |25                 
114                |Ricardo            |Borjas             |57                 
115                |Omar               |Matamoros          |90                 
116                |Ramon              |Tomtate            |87                 
117                |Diego              |Suazo              |60                 
118                |Diego              |Tomtate            |98                 
119                |Brownie            |Kurosaki           |72                 
120                |David              |Sanchez            |98                 
121                |Ricardo            |Kurosaki           |45                 
122                |Ramon              |Soto               |39                 
123                |Diego              |Suazo              |34                 
124                |Ricardo            |Sula               |88                 
125                |Goku               |Kurosaki           |55                 
126                |Michell            |Suazo              |73                 
127                |Goku               |Soto               |11                 
128                |Ana                |Soto               |43                 
129                |Deku               |Tomtate            |87                 
130                |Marco              |Sula               |67                 
131                |Marco              |Murcia             |84                 
132                |Ramon              |Sula               |9                  
133                |David              |Mata               |28                 
134                |Michell            |Soto               |72                 
135                |David              |Ordoñez            |33                 
136                |Marco              |Ruth               |70                 
137                |Maria              |Sula               |57                 
138                |Diego              |Suazo              |3                  
139                |Deku               |Murcia             |64                 
140                |Marco              |Kurosaki           |95                 
141                |Marco              |Matamoros          |57                 
142                |Omar               |Suazo              |30                 
143                |Maria              |Soto               |96                 
144                |Ana                |Murcia             |52                 
145                |Brownie            |Ordoñez            |18                 
146                |Brownie            |Kurosaki           |66                 
147                |Goku               |Ordoñez            |71                 
148                |Ramon              |Tomtate            |66                 
149                |Deku               |Tomtate            |22                 
150                |Ana                |Suazo              |83                 
151                |Diego              |Ordoñez            |92                 
152                |Diego              |Mata               |44                 
153                |David              |Sula               |38                 
154                |David              |Matamoros          |73                 
155                |Ramon              |Mata               |53                 
156                |Ana                |Matamoros          |20                 
157                |Ramon              |Suazo              |92                 
158                |Maria              |Ordoñez            |43                 
159                |Maria              |Borjas             |73                 
160                |Diego              |Ruth               |8                  
161                |Brownie            |Soto               |4                  
162                |Ramon              |Suazo              |69                 
163                |Maria              |Soto               |99                 
164                |Ana                |Sanchez            |95                 
165                |Marco              |Borjas             |64                 
166                |Ana                |Sula               |67                 
167                |Brownie            |Matamoros          |43                 
168                |Omar               |Mata               |34                 
169                |Maria              |Sanchez            |98                 
170                |Deku               |Tomtate            |75                 
171                |Michell            |Suazo              |85                 
172                |Omar               |Murcia             |43                 
173                |Marco              |Kurosaki           |99                 
174                |Ana                |Ruth               |19                 
175                |Marco              |Sanchez            |88                 
176                |Diego              |Ordoñez            |64                 
177                |Maria              |Ruth               |90                 
178                |Omar               |Mata               |55                 
179                |Michell            |Kurosaki           |43                 
180                |Goku               |Soto               |18                 
181                |Michell            |Matamoros          |34                 
182                |Deku               |Mata               |43                 
183                |Marco              |Sula               |20                 
184                |Ana                |Mata               |48                 
185                |Brownie            |Matamoros          |53                 
186                |Marco              |Ruth               |94                 
187                |Marco              |Sanchez            |31                 
188                |David              |Matamoros          |20                 
189                |David              |Suazo              |66                 
190                |David              |Mata               |95                 
191                |David              |Suazo              |35                 
192                |Omar               |Murcia             |61                 
193                |Michell            |Sula               |74                 
194                |Deku               |Kurosaki           |45                 
195                |Brownie            |Ordoñez            |8                  
196                |Ricardo            |Mata               |23                 
197                |Ricardo            |Murcia             |0                  
198                |Ricardo            |Sula               |69                 
199                |Marco              |Sula               |55                 
200                |Deku               |Murcia             |82                 
201                |Ricardo            |Sula               |87                 
202                |Ana                |Sula               |20                 
203                |Ramon              |Ordoñez            |27                 
204                |Deku               |Ruth               |4                  
205                |Goku               |Mata               |69                 
206                |Brownie            |Tomtate            |8                  
207                |Brownie            |Sanchez            |73                 
208                |David              |Mata               |42                 
209                |Goku               |Ruth               |37                 
210                |Michell            |Sanchez            |12                 
211                |Diego              |Suazo              |40                 
212                |David              |Murcia             |25                 
213                |Diego              |Sula               |73                 
214                |David              |Soto               |76                 
215                |Ana                |Borjas             |68                 
216                |Marco              |Tomtate            |75                 
217                |Goku               |Tomtate            |27                 
218                |Ana                |Murcia             |35                 
219                |Brownie            |Soto               |57                 
220                |Ana                |Matamoros          |58                 
221                |Deku               |Mata               |70                 
222                |David              |Sanchez            |40                 
223                |Deku               |Soto               |90                 
224                |Maria              |Ruth               |72                 
225                |Michell            |Sula               |54                 
226                |Ana                |Mata               |99                 
227                |Ricardo            |Ruth               |27                 
228                |Marco              |Soto               |86                 
229                |Michell            |Suazo              |49                 
230                |David              |Sula               |40                 
231                |Ricardo            |Suazo              |49                 
232                |Ramon              |Soto               |73                 
233                |Omar               |Murcia             |0                  
234                |Ricardo            |Matamoros          |23                 
235                |Omar               |Mata               |75                 
236                |Ana                |Ordoñez            |27                 
237                |Goku               |Murcia             |79                 
238                |Goku               |Sanchez            |8                  
239                |Diego              |Tomtate            |98                 
240                |Ricardo            |Ordoñez            |92                 
241                |Ramon              |Kurosaki           |16                 
242                |Deku               |Soto               |99                 
243                |Omar               |Murcia             |81                 
244                |Maria              |Ruth               |45                 
245                |Ramon              |Sanchez            |23                 
246                |Marco              |Tomtate            |3                  
247                |Omar               |Soto               |63                 
248                |Goku               |Soto               |43                 
249                |Marco              |Suazo              |67                 
250                |Goku               |Murcia             |11                 
251                |Ricardo            |Matamoros          |85                 
252                |Ana                |Tomtate            |88                 
253                |Diego              |Mata               |1                  
254                |Maria              |Ordoñez            |54                 
255                |David              |Ordoñez            |1                  
256                |Ramon              |Borjas             |23                 
257                |Goku               |Kurosaki           |19                 
258                |Ricardo            |Soto               |12                 
259                |Ricardo            |Ordoñez            |9                  
260                |Ramon              |Ruth               |86                 
261                |Diego              |Matamoros          |11                 
262                |Ricardo            |Soto               |47                 
263                |Maria              |Ruth               |56                 
264                |Goku               |Tomtate            |52                 
265                |Ricardo            |Suazo              |10                 
266                |Maria              |Tomtate            |12                 
267                |Michell            |Sula               |55                 
268                |Deku               |Matamoros          |15                 
269                |Ana                |Sanchez            |24                 
270                |Michell            |Sula               |63                 
271                |Diego              |Ordoñez            |84                 
272                |David              |Mata               |36                 
273                |Ana                |Mata               |86                 
274                |Omar               |Sanchez            |29                 
275                |Deku               |Sanchez            |19                 
276                |Goku               |Borjas             |38                 
277                |Brownie            |Ruth               |64                 
278                |Ana                |Kurosaki           |25                 
279                |Diego              |Borjas             |69                 
280                |Deku               |Sula               |8                  
281                |Brownie            |Borjas             |89                 
282                |Diego              |Murcia             |67                 
283                |Michell            |Sanchez            |97                 
284                |Michell            |Ruth               |58                 
285                |Brownie            |Murcia             |61                 
286                |Marco              |Mata               |28                 
287                |Maria              |Sula               |22                 
288                |Ana                |Mata               |79                 
289                |David              |Matamoros          |22                 
290                |Brownie            |Sanchez            |4                  
291                |Ricardo            |Kurosaki           |9                  
292                |Diego              |Soto               |65                 
293                |Michell            |Suazo              |90                 
294                |Ramon              |Tomtate            |14                 
295                |Marco              |Tomtate            |89                 
296                |Deku               |Sula               |15                 
297                |David              |Murcia             |76                 
298                |Ramon              |Suazo              |82                 
299                |Deku               |Soto               |9                  
300                |Goku               |Kurosaki           |85                 
301                |Diego              |Sanchez            |66                 
302                |Omar               |Borjas             |20                 
303                |Diego              |Kurosaki           |99                 
304                |Ana                |Soto               |7                  
305                |Diego              |Soto               |28                 
306                |Ramon              |Ordoñez            |73                 
307                |Marco              |Borjas             |56                 
308                |David              |Sanchez            |98                 
309                |Deku               |Suazo              |88                 
310                |Brownie            |Borjas             |28                 
311                |Omar               |Murcia             |40                 
312                |Ramon              |Matamoros          |48                 
313                |Marco              |Sula               |10                 
314                |Ramon              |Tomtate            |94                 
315                |Omar               |Borjas             |51                 
316                |Ricardo            |Borjas             |18                 
317                |Goku               |Ordoñez            |27                 
318                |Diego              |Ruth               |40                 
319                |Diego              |Sanchez            |5                  
320                |Ricardo            |Tomtate            |44                 
321                |David              |Matamoros          |74                 
322                |Ana                |Borjas             |70                 
323                |Goku               |Borjas             |19                 
324                |Deku               |Ordoñez            |98                 
325                |Ana                |Sanchez            |70                 
326                |Goku               |Soto               |93                 
327                |Diego              |Sanchez            |44                 
328                |Ramon              |Sula               |90                 
329                |Deku               |Matamoros          |11                 
330                |Marco              |Tomtate            |29                 
331                |Ana                |Soto               |20                 
332                |Ramon              |Soto               |3                  
333                |Brownie            |Matamoros          |99                 
334                |Ana                |Matamoros          |61                 
335                |Michell            |Murcia             |71                 
336                |Marco              |Ruth               |12                 
337                |Deku               |Kurosaki           |9                  
338                |Deku               |Matamoros          |64                 
339                |Michell            |Borjas             |65                 
340                |Maria              |Mata               |3                  
341                |Deku               |Ruth               |11                 
342                |Omar               |Murcia             |58                 
343                |Ana                |Matamoros          |50                 
344                |Brownie            |Suazo              |41                 
345                |Goku               |Sula               |90                 
346                |Michell            |Mata               |49                 
347                |Marco              |Tomtate            |49                 
348                |Michell            |Sula               |98                 
349                |Ana                |Murcia             |59                 
350                |Ricardo            |Sula               |41                 
351                |Michell            |Kurosaki           |35                 
352                |Ramon              |Ordoñez            |89                 
353                |Ricardo            |Soto               |43                 
354                |Deku               |Suazo              |18                 
355                |Maria              |Matamoros          |47                 
356                |Michell            |Sula               |14                 
357                |Maria              |Suazo              |55                 
358                |David              |Kurosaki           |8                  
359                |Omar               |Soto               |80                 
360                |Brownie            |Murcia             |65                 
361                |Goku               |Sula               |26                 
362                |Goku               |Kurosaki           |74                 
363                |Maria              |Tomtate            |20                 
364                |Omar               |Sula               |31                 
365                |Michell            |Tomtate            |28                 
366                |Marco              |Murcia             |89                 
367                |Ana                |Mata               |7                  
368                |Omar               |Ruth               |33                 
369                |Ana                |Sula               |46                 
370                |Deku               |Borjas             |53                 
371                |Ramon              |Tomtate            |19                 
372                |Ramon              |Sanchez            |0                  
373                |Diego              |Borjas             |32                 
374                |Michell            |Sanchez            |29                 
375                |Marco              |Tomtate            |67                 
376                |David              |Borjas             |32                 
377                |Diego              |Matamoros          |3                  
378                |Omar               |Ordoñez            |99                 
379                |Brownie            |Kurosaki           |50                 
380                |David              |Soto               |93                 
381                |Brownie            |Ruth               |96                 
382                |Diego              |Borjas             |83                 
383                |Goku               |Ruth               |32                 
384                |Goku               |Borjas             |80                 
385                |Ramon              |Ordoñez            |82                 
386                |Brownie            |Soto               |65                 
387                |David              |Sanchez            |29                 
388                |Deku               |Suazo              |20                 
389                |Maria              |Kurosaki           |88                 
390                |Brownie            |Kurosaki           |19                 
391                |Deku               |Murcia             |66                 
392                |Michell            |Kurosaki           |71                 
393                |Ana                |Matamoros          |1                  
394                |Michell            |Kurosaki           |1                  
395                |Brownie            |Sula               |97                 
396                |Ana                |Matamoros          |97                 
397                |Marco              |Kurosaki           |98                 
398                |Goku               |Mata               |24                 
399                |Marco              |Ruth               |64                 
400                |Omar               |Sula               |16                 
401                |David              |Sanchez            |70                 
402                |Ana                |Mata               |6                  
403                |Marco              |Ordoñez            |45                 
404                |David              |Murcia             |18                 
405                |Ana                |Matamoros          |65                 
406                |Deku               |Murcia             |19                 
407                |Diego              |Murcia             |61                 
408                |Omar               |Ruth               |25                 
409                |Ricardo            |Borjas             |72                 
410                |Omar               |Sanchez            |25                 
411                |Ricardo            |Murcia             |51                 
412                |Maria              |Suazo              |15                 
413                |Goku               |Suazo              |40                 
414                |Maria              |Ordoñez            |50                 
415                |Maria              |Sanchez            |96                 
416                |Omar               |Borjas             |83                 
417                |Brownie            |Tomtate            |46                 
418                |Ana                |Kurosaki           |47                 
419                |Ricardo            |Borjas             |66                 
420                |Ramon              |Kurosaki           |64                 
421                |Brownie            |Kurosaki           |99                 
422                |Ana                |Sula               |78                 
423                |Ricardo            |Matamoros          |46                 
424                |Marco              |Soto               |66                 
425                |Deku               |Tomtate            |33                 
426                |Maria              |Borjas             |37                 
427                |Diego              |Tomtate            |95                 
428                |Ana                |Soto               |43                 
429                |Omar               |Borjas             |99                 
430                |Deku               |Matamoros          |30                 
431                |Omar               |Sula               |9                  
432                |Ramon              |Matamoros          |78                 
433                |Marco              |Sula               |17                 
434                |Brownie            |Suazo              |39                 
435                |Deku               |Matamoros          |79                 
436                |Maria              |Sula               |63                 
437                |Diego              |Kurosaki           |97                 
438                |Brownie            |Ruth               |74                 
439                |Marco              |Soto               |34                 
440                |Marco              |Suazo              |51                 
441                |Maria              |Ruth               |2                  
442                |Ramon              |Murcia             |95                 
443                |Diego              |Kurosaki           |6                  
444                |Ramon              |Soto               |65                 
445                |Marco              |Kurosaki           |58                 
446                |Omar               |Matamoros          |86                 
447                |Maria              |Borjas             |62                 
448                |Maria              |Matamoros          |55                 
449                |Omar               |Soto               |87                 
450                |Maria              |Suazo              |15                 
451                |Diego              |Suazo              |88                 
452                |Ricardo            |Murcia             |2                  
453                |Ana                |Suazo              |94                 
454                |Omar               |Murcia             |41                 
455                |Ramon              |Sula               |75                 
456                |Maria              |Suazo              |76                 
457                |Ana                |Mata               |58                 
458                |Marco              |Ordoñez            |87                 
459                |Ricardo            |Soto               |99                 
460                |Goku               |Matamoros          |99                 
461                |Ana                |Kurosaki           |44                 
462                |Goku               |Kurosaki           |27                 
463                |Maria              |Soto               |23                 
464                |Diego              |Matamoros          |43                 
465                |Michell            |Borjas             |84                 
466                |Ricardo            |Soto               |73                 
467                |Brownie            |Tomtate            |41                 
468                |Omar               |Suazo              |5                  
469                |Michell            |Borjas             |91                 
470                |Marco              |Murcia             |68                 
471                |Ana                |Kurosaki           |2                  
472                |Michell            |Murcia             |88                 
473                |Ana                |Sanchez            |55                 
474                |Marco              |Suazo              |87                 
475                |Ana                |Tomtate            |29                 
476                |Diego              |Sula               |82                 
477                |Maria              |Borjas             |53                 
478                |Brownie            |Murcia             |23                 
479                |Deku               |Sula               |51                 
480                |Ramon              |Tomtate            |67                 
481                |Marco              |Borjas             |78                 
482                |Marco              |Kurosaki           |78                 
483                |Ricardo            |Ruth               |41                 
484                |Ramon              |Mata               |91                 
485                |Ramon              |Tomtate            |3                  
486                |Ana                |Sula               |16                 
487                |Goku               |Borjas             |90                 
488                |Ricardo            |Tomtate            |85                 
489                |Michell            |Borjas             |90                 
490                |Diego              |Tomtate            |74                 
491                |Marco              |Mata               |79                 
492                |Goku               |Soto               |88                 
493                |Ricardo            |Murcia             |85                 
494                |Diego              |Ruth               |83                 
495                |Michell            |Ordoñez            |86                 
496                |Maria              |Tomtate            |26                 
497                |Ricardo            |Ruth               |10                 
498                |Omar               |Sula               |95                 
499                |Ramon              |Matamoros          |3                  
500                |David              |Sula               |80                 
501                |Michell            |Soto               |32                 
502                |Ricardo            |Ordoñez            |72                 
503                |Omar               |Sanchez            |43                 
504                |Ramon              |Matamoros          |50                 
505                |Ana                |Matamoros          |51                 
506                |Ana                |Murcia             |52                 
507                |Michell            |Mata               |58                 
508                |Maria              |Borjas             |30                 
509                |Ana                |Ordoñez            |79                 
510                |Diego              |Borjas             |97                 
511                |Maria              |Suazo              |83                 
512                |Ramon              |Sula               |65                 
513                |David              |Mata               |35                 
514                |Goku               |Soto               |63                 
515                |Deku               |Mata               |40                 
516                |Goku               |Suazo              |98                 
517                |Diego              |Ruth               |76                 
518                |Diego              |Ordoñez            |91                 
519                |Ramon              |Matamoros          |31                 
520                |Ana                |Suazo              |35                 
521                |Omar               |Ruth               |63                 
522                |Deku               |Kurosaki           |27                 
523                |Ana                |Suazo              |65                 
524                |Maria              |Borjas             |74                 
525                |Ricardo            |Borjas             |18                 
526                |Marco              |Matamoros          |54                 
527                |Deku               |Murcia             |9                  
528                |Marco              |Sanchez            |37                 
529                |Diego              |Suazo              |28                 
530                |Marco              |Matamoros          |66                 
531                |Diego              |Mata               |58                 
532                |Ricardo            |Ruth               |30                 
533                |Michell            |Suazo              |21                 
534                |Goku               |Sula               |17                 
535                |Brownie            |Murcia             |35                 
536                |Ricardo            |Murcia             |46                 
537                |Goku               |Sula               |8                  
538                |Goku               |Sula               |8                  
539                |Ana                |Mata               |31                 
540                |Ramon              |Ruth               |86                 
541                |Diego              |Soto               |82                 
542                |Diego              |Suazo              |36                 
543                |Maria              |Sula               |33                 
544                |Deku               |Tomtate            |67                 
545                |Maria              |Ruth               |44                 
546                |Ana                |Suazo              |11                 
547                |Michell            |Ruth               |13                 
548                |Goku               |Soto               |27                 
549                |Maria              |Suazo              |94                 
550                |Ricardo            |Ordoñez            |35                 
551                |Omar               |Murcia             |1                  
552                |Omar               |Murcia             |72                 
553                |Brownie            |Suazo              |9                  
554                |Ana                |Kurosaki           |73                 
555                |Omar               |Sanchez            |12                 
556                |Omar               |Murcia             |58                 
557                |Marco              |Soto               |51                 
558                |Marco              |Ruth               |48                 
559                |Ricardo            |Suazo              |53                 
560                |Michell            |Mata               |42                 
561                |Maria              |Matamoros          |77                 
562                |Ricardo            |Sula               |66                 
